date,price,volume
2022-01-01,100.49671415301123,748
2022-01-02,100.35844985184005,417
2022-01-03,101.00613838994074,776
2022-01-04,102.52916824634876,324
2022-01-05,102.29501487162543,918
2022-01-06,102.06087791467625,333
2022-01-07,103.64009073018364,783
2022-01-08,104.40752545933655,763
2022-01-09,103.9380510734016,926
2022-01-10,104.48061111698756,473
2022-01-11,104.0171934241751,771
2022-01-12,103.55146367060485,707
2022-01-13,103.79342594217087,571
2022-01-14,101.88014569751307,332
2022-01-15,100.15522786500004,791
2022-01-16,99.59294033575907,212
2022-01-17,98.58010921542466,929
2022-01-18,98.89435654801993,596
2022-01-19,97.98633247249872,541
2022-01-20,96.57402877116343,663
2022-01-21,98.03967754008498,367
2022-01-22,97.81390123959844,609
2022-01-23,97.88142944428637,906
2022-01-24,96.4566812580729,485
2022-01-25,95.91229853354773,486
2022-01-26,96.02322112325758,212
2022-01-27,94.87222754583529,712
2022-01-28,95.24792556418096,724
2022-01-29,94.64728687426215,180
2022-01-30,94.35559312446888,798
2022-01-31,93.75388651223948,212
2022-02-01,95.60616469674842,101
2022-02-02,95.59266747201049,741
2022-02-03,94.53495654305459,319
2022-02-04,95.35750145515777,665
2022-02-05,94.13665780518676,954
2022-02-06,94.3455214001915,835
2022-02-07,92.38585127631173,324
2022-02-08,91.05766522741331,484
2022-02-09,91.25452646328243,502
2022-02-10,91.99299304327783,737
2022-02-11,92.1643613244678,229
2022-02-12,92.04871304207957,152
2022-02-13,91.74760934649028,783
2022-02-14,90.26908735612285,829
2022-02-15,89.54924314772813,771
2022-02-16,89.08860437676836,809
2022-02-17,90.14572660298727,515
2022-02-18,90.48934489255574,346
2022-02-19,88.72630473719299,935
2022-02-20,89.0503887065878,538
2022-02-21,88.66530642617147,302
2022-02-22,87.98838442586552,283
2022-02-23,88.60006071470639,222
2022-02-24,89.63106023720233,500
2022-02-25,90.56234035631853,866
2022-02-26,89.7231228330959,393
2022-02-27,89.41391045724468,379
2022-02-28,89.74517388864824,936
2022-03-01,90.7207190157706,983
2022-03-02,90.24154477792531,709
2022-03-03,90.0558858012615,297
2022-03-04,88.94955082725546,610
2022-03-05,87.7533442031748,851
2022-03-06,88.565870025569,243
2022-03-07,89.92211005413982,708
2022-03-08,89.85009993255949,300
2022-03-09,90.85363283045152,223
2022-03-10,91.21526885549915,286
2022-03-11,90.57014910089401,425
2022-03-12,90.93154470640243,563
2022-03-13,92.4695812728684,448
2022-03-14,92.43375523375845,870
2022-03-15,93.99839888957246,759
2022-03-16,91.37865378548271,863
2022-03-17,92.20055628985793,502
2022-03-18,92.2876033580961,445
2022-03-19,91.98859600763024,610
2022-03-20,92.08035678416574,246
2022-03-21,90.09278786956484,247
2022-03-22,89.87311598172734,963
2022-03-23,90.23022855323909,810
2022-03-24,91.7081225979806,919
2022-03-25,91.18985237970695,588
2022-03-26,90.38135877681377,739
2022-03-27,89.87960173322922,650
2022-03-28,90.7950038509313,437
2022-03-29,91.12375496059099,971
2022-03-30,90.59399475682395,740
2022-03-31,91.1072621899373,878
2022-04-01,91.20433973928534,572
2022-04-02,92.17298472981824,250
2022-04-03,91.47093163594087,514
2022-04-04,91.14326948934311,397
2022-04-05,90.75116133621096,710
2022-04-06,89.28764638807883,362
2022-04-07,89.58376666514341,863
2022-04-08,89.8448219373233,243
2022-04-09,89.84993539396577,445
2022-04-10,89.61534826059061,723
