date,price,volume,log_return,sma_5,weekday
2022-01-01,100.4967,748,0.0,100.4967,6
2022-01-02,100.3584,417,-0.0013771123746068748,100.42755,7
2022-01-03,101.0061,776,0.006433132292575466,100.6204,1
2022-01-04,102.5292,324,0.014966725000100843,101.0976,2
2022-01-05,102.295,918,-0.002286840149407029,101.33708,3
2022-01-06,102.0609,333,-0.0022911019686941065,101.64992,4
2022-01-07,103.6401,783,0.01535462663277334,102.30626,5
2022-01-08,104.4075,763,0.007377191376825814,102.98654,6
2022-01-09,103.9381,926,-0.004505982312270586,103.26832,7
2022-01-10,104.4806,473,0.005205878601087625,103.70544,1
2022-01-11,104.0172,771,-0.004445138155282616,104.0967,2
2022-01-12,103.5515,707,-0.004487196589880185,104.07898,3
2022-01-13,103.7934,571,0.002333311402873687,103.95616,4
2022-01-14,101.8801,332,-0.01860575323753049,103.54456,5
2022-01-15,100.1552,791,-0.01707564877694696,102.67948,6
2022-01-16,99.5929,212,-0.005630105971661575,101.79462,7
2022-01-17,98.5801,929,-0.010221461227822162,100.80034,1
2022-01-18,98.8944,596,0.003183198492905513,99.82054,2
2022-01-19,97.9863,541,-0.009224941194322883,99.04178,3
2022-01-20,96.574,663,-0.014518119127756877,98.32554,4
2022-01-21,98.0397,367,0.015062944827622304,98.0149,5
2022-01-22,97.8139,609,-0.002305804948627366,97.86166,6
2022-01-23,97.8814,906,0.000689847969541291,97.65906,7
2022-01-24,96.4567,485,-0.014662338716956906,97.35314,1
2022-01-25,95.9123,486,-0.005659970715994422,97.2208,2
2022-01-26,96.0232,212,0.0011555966701454297,96.8175,3
2022-01-27,94.8722,712,-0.01205910617399571,96.22916,4
2022-01-28,95.2479,724,0.003952243755849563,95.70246,5
2022-01-29,94.6473,180,-0.006325615420188186,95.34058,6
2022-01-30,94.3556,798,-0.0030867275751538777,95.02924,7
2022-01-31,93.7539,212,-0.006397359539065567,94.57538,1
2022-02-01,95.6062,101,0.019564407525675887,94.72218,2
2022-02-02,95.5927,741,-0.0001412142017809336,94.79114,3
2022-02-03,94.535,319,-0.011126321009266978,94.76868,4
2022-02-04,95.3575,665,0.008662850230537419,94.96906,5
2022-02-05,94.1367,954,-0.012885005346478877,95.04562,6
2022-02-06,94.3455,835,0.002215594739600437,94.79348,7
2022-02-07,92.3859,324,-0.020989206322678273,94.15212,1
2022-02-08,91.0577,484,-0.014480998084828495,93.45666,2
2022-02-09,91.2545,502,0.0021589347991016047,92.63606,3
2022-02-10,91.993,737,0.00806018088261333,92.20732,4
2022-02-11,92.1644,229,0.0018614516657140103,91.7711,5
2022-02-12,92.0487,152,-0.001256154043483502,91.70366,6
2022-02-13,91.7476,783,-0.00327645626558474,91.84164,7
2022-02-14,90.2691,829,-0.01624611938377417,91.64456,1
2022-02-15,89.5492,771,-0.008007014260486918,91.1558,2
2022-02-16,89.0886,809,-0.005156814747130609,90.54064,3
2022-02-17,90.1457,515,0.011795870068070365,90.16004,4
2022-02-18,90.4893,346,0.003804361440638538,89.90838,5
2022-02-19,88.7263,935,-0.01967526123185007,89.59982,6
2022-02-20,89.0504,538,0.0036461511442163735,89.50006,7
2022-02-21,88.6653,302,-0.004333895123123586,89.4154,1
2022-02-22,87.9884,283,-0.007663618853356887,88.98394,2
2022-02-23,88.6001,222,0.006927998670961605,88.6061,3
2022-02-24,89.6311,500,0.011569371691951033,88.78706,4
2022-02-25,90.5623,866,0.010335653688341802,89.08944,5
2022-02-26,89.7231,393,-0.009309750664392762,89.301,6
2022-02-27,89.4139,379,-0.003452109916576979,89.5861,7
2022-02-28,89.7452,936,0.0036983929661374027,89.81512,1
2022-03-01,90.7207,983,0.010811011955025622,90.03304,2
2022-03-02,90.2415,709,-0.005296146047031267,89.96888,3
2022-03-03,90.0559,297,-0.0020588213203214735,90.03544,4
2022-03-04,88.9496,610,-0.01236067143834569,89.94258,5
2022-03-05,87.7533,851,-0.01354044871689499,89.5442,6
2022-03-06,88.5659,243,0.009217439204353708,89.11324,7
2022-03-07,89.9221,708,0.015196832284388869,89.04936,1
2022-03-08,89.8501,300,-0.0008010137702018762,89.0082,2
2022-03-09,90.8536,223,0.011106693618839206,89.389,3
2022-03-10,91.2153,286,0.003973226353673101,90.0814,4
2022-03-11,90.5701,425,-0.007098509662906489,90.48224,5
2022-03-12,90.9315,563,0.0039823393030242,90.68412,6
2022-03-13,92.4696,448,0.016773466045295136,91.20802,7
2022-03-14,92.4338,870,-0.0003872292283141778,91.52406,1
2022-03-15,93.9984,759,0.016785048223930368,92.08068,2
2022-03-16,91.3787,863,-0.0282653511223401,92.2424,3
2022-03-17,92.2006,502,0.008954228407360095,92.49622,4
2022-03-18,92.2876,445,0.0009431498214964257,92.45982,5
2022-03-19,91.9886,610,-0.003245131627354504,92.37078,6
2022-03-20,92.0804,246,0.0009974521251384955,91.98718,7
2022-03-21,90.0928,247,-0.02182185824139069,91.73,1
2022-03-22,89.8731,963,-0.0024415748665856463,91.2645,2
2022-03-23,90.2302,810,0.003965507216769843,90.85302,3
2022-03-24,91.7081,919,0.016246524315594455,90.79692,4
2022-03-25,91.1899,588,-0.005666561543730732,90.61882,5
2022-03-26,90.3814,739,-0.008905651317651116,90.67654,6
2022-03-27,89.8796,650,-0.005567497086907872,90.67784,7
2022-03-28,90.795,437,0.010133221082816973,90.7908,1
2022-03-29,91.1238,971,0.00361480350607363,90.67394,2
2022-03-30,90.594,740,-0.005831035827446438,90.55476,3
2022-03-31,91.1073,878,0.005649947088530957,90.69994,4
2022-04-01,91.2043,572,0.0010641123126893576,90.96488,5
2022-04-02,92.173,250,0.010565200935861914,91.24048,6
2022-04-03,91.4709,514,-0.007646357116031134,91.3099,7
2022-04-04,91.1433,397,-0.003587895699597349,91.41976,1
2022-04-05,90.7512,710,-0.0043112970138101765,91.34854,2
2022-04-06,89.2876,362,-0.016259075739966915,90.9652,3
2022-04-07,89.5838,863,0.0033118796044559447,90.44736,4
2022-04-08,89.8448,243,0.002909237257434169,90.12214,5
2022-04-09,89.8499,445,5.6762942940071195e-05,89.86346,6
